Accession.number	Subgenus	Genus	Family	Gene.encoded	Definition	Organism	isolate.name	collection.date	Country	Host	Note
KC522101.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Pipistrellus bat coronavirus HKU5 isolate 30S spike glycoprotein gene, complete cds	Pipistrellus bat coronavirus HKU5	30S	14-Oct-2010	Hong Kong	bat	
KC522102.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Pipistrellus bat coronavirus HKU5 isolate 31S spike glycoprotein gene, complete cds	Pipistrellus bat coronavirus HKU5	31S	02-Aug-2012	Hong Kong	bat	
KC522103.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Pipistrellus bat coronavirus HKU5 isolate 32S spike glycoprotein gene, complete cds	Pipistrellus bat coronavirus HKU5	32S	02-Aug-2012	Hong Kong	bat	
KC522104.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Pipistrellus bat coronavirus HKU5 isolate 33S spike glycoprotein gene, complete cds	Pipistrellus bat coronavirus HKU5	33S	02-Aug-2012	Hong Kong	bat	
KJ473820.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	BtPa-BetaCoV/GD2013, complete genome	BtPa-BetaCoV/GD2013	BtPa-GD2013	2013	China	Pipistrellus abramus	
KX442565.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Hypsugo bat coronavirus HKU25 isolate NL140462, complete genome	Hypsugo bat coronavirus HKU25	NL140462	08-May-2014	China	Hypsugo pulveratus	
MG596802.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Middle East respiratory syndrome-related coronavirus isolate Bat-CoV/H.savii/Italy/206645-40/2011, complete genome	Middle East respiratory syndrome-related coronavirus	Bat-CoV/H.savii/Italy/206645-40/2011	2011	Italy	Hypsugo savii	subgroup: 2c
MG596803.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Middle East respiratory syndrome-related coronavirus isolate Bat-CoV/P.khulii/Italy/206645-63/2011, complete genome	Middle East respiratory syndrome-related coronavirus	Bat-CoV/P.khulii/Italy/206645-63/2011	2011	Italy	Pipistrellus kuhlii	subgroup: 2c
MG021452.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Middle East respiratory syndrome-related coronavirus isolate NL140422, complete genome	Middle East respiratory syndrome-related coronavirus	NL140422	08-May-2014	China		
MH002341.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Pipistrellus bat coronavirus HKU5 isolate BY140562, complete genome	Pipistrellus bat coronavirus HKU5	BY140562	28-Jun-2014	China		
MH002342.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Pipistrellus bat coronavirus HKU5 isolate YD13403, complete genome	Pipistrellus bat coronavirus HKU5	YD13403	03-Jun-2013	China		
MG987420.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Middle East respiratory syndrome-related coronavirus isolate NL13892, complete genome	Middle East respiratory syndrome-related coronavirus	NL13892	20-Jul-2013	China		
MG987421.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Middle East respiratory syndrome-related coronavirus isolate NL140455, complete genome	Middle East respiratory syndrome-related coronavirus	NL140455	08-May-2014	China		
MN611519.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Tylonycteris pachypus bat coronavirus HKU4-related isolate GZ131656, complete genome	Tylonycteris pachypus bat coronavirus HKU4-related	GZ131656	Mar-2018	China	Tylonycteris pachypus	
MN611520.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Pipistrellus abramus bat coronavirus HKU5-related isolate BY140568, complete genome	Pipistrellus abramus bat coronavirus HKU5-related	BY140568	Mar-2018	China	Pipistrellus abramus	
MT818221.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Middle East respiratory syndrome-related coronavirus strain BatCoV/V.murinus/Switzerland/2019 ORF1ab (orf1ab), ORF1a (orf1ab), and S protein genes, partial cds	Middle East respiratory syndrome-related coronavirus	BatCoV/V.murinus/Switzerland/2019	30-May-2019	Switzerland: Aargau	Vespertilio murinus	
MZ328297.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Wenzhou Pipistrellus abramus betacoronavirus 1, complete genome	Wenzhou Pipistrellus abramus betacoronavirus 1	YJB_Pabr	2016	China	Pipistrellus abramus	
OM009282.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Pangolin coronavirus HKU4/P251T/pangolin/2018, complete genome	Pangolin coronavirus HKU4/P251T/pangolin/2018	P251T/pangolin/2018	2018		pangolin	
ON378807.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	MAG: Middle East respiratory syndrome-related coronavirus isolate BatCoV_B20-180, complete genome	Middle East respiratory syndrome-related coronavirus	BatCoV_B20-180	21-Sep-2020	South Korea	Rhinolophus ferrumequinum	metagenomic
OM045061.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Tylonycteris bat coronavirus HKU4 isolate 162275 spike glycoprotein (S) gene, complete cds	Tylonycteris bat coronavirus HKU4	162275	2016-08-18	China	Tylonycteris robustula	
ON325307.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Middle East respiratory syndrome-related coronavirus isolate BatCoV/V.murinus/Switzerland/2020, complete genome	Middle East respiratory syndrome-related coronavirus	BatCoV/V.murinus/Switzerland/2020	2020	Switzerland	Vespertilio murinus	
ON745165.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Tylonycteris robustula coronavirus isolate 162275, partial genome	Tylonycteris robustula coronavirus	162275	2016-08-18	China: Yunnan	Tylonycteris robustula	
OP288969.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Pangolin coronavirus isolate HKU4/GX-2020, complete genome	Pangolin coronavirus	HKU4/GX-2020	2020	China: Guangxi	Manis javanica	
LC706865.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Merbecovirus sp. EjCoV-3 RNA, complete genome	Merbecovirus sp.	EjCoV-3	2016-07	Japan	Eptesicus japonensis	
LC663783.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Merbecovirus sp. Ej-CoV-3 RNA, complete genome	Merbecovirus sp.	Ej-CoV-3	2015-07-04	Japan: Nagano	Eptesicus japonensis	
OQ175231.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Bat Coronavirus PaGX17 isolate BtPa-BetaCoV/GX2017-Q271, complete genome	Bat Coronavirus PaGX17	BtPa-BetaCoV/GX2017-Q271	2017	China: Guangxi	Pipistrellus abramus	
OQ175264.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Bat Coronavirus HaYN16 isolate BtHa-BetaCoV/YN2016-Q244, complete genome	Bat Coronavirus HaYN16	BtHa-BetaCoV/YN2016-Q244	2016	China: Yunnan	Hipposideros armiger	
OQ175265.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Bat Coronavirus HaYN16 isolate BtHa-BetaCoV/YN2016-Q245, complete genome	Bat Coronavirus HaYN16	BtHa-BetaCoV/YN2016-Q245	2016	China: Yunnan	Hipposideros armiger	
OQ175267.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Bat Coronavirus IlYN20 isolate BtIl-BetaCoV/YN2020-Q247, complete genome	Bat Coronavirus IlYN20	BtIl-BetaCoV/YN2020-Q247	03-Oct-2020	China: Yunnan	Ia io	
OQ175269.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Bat Coronavirus PaGD16 isolate BtPa-BetaCoV/GD2016-Q249, complete genome	Bat Coronavirus PaGD16	BtPa-BetaCoV/GD2016-Q249	2016	China: Guangdong	Pipistrellus abramus	
OQ175272.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Bat Coronavirus HlHI19 isolate BtHl-BetaCoV/HI2019-Q252, complete genome	Bat Coronavirus HlHI19	BtHl-BetaCoV/HI2019-Q252	2019	China: Hainan	Hipposideros larvatus	
OQ175273.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Bat Coronavirus MpHI19 isolate BtMp-BetaCoV/HI2019-Q253, complete genome	Bat Coronavirus MpHI19	BtMp-BetaCoV/HI2019-Q253	2019	China: Hainan	Miniopterus pusillus	
OQ175274.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Bat Coronavirus PaGD18 isolate BtPa-BetaCoV/GD2018-Q254, complete genome	Bat Coronavirus PaGD18	BtPa-BetaCoV/GD2018-Q254	24-Apr-2018	China: Guangdong	Pipistrellus abramus	
OQ175275.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Bat Coronavirus PaGD18 isolate BtPa-BetaCoV/GD2018-Q255, complete genome	Bat Coronavirus PaGD18	BtPa-BetaCoV/GD2018-Q255	02-Jul-2018	China: Guangdong	Pipistrellus abramus	
OQ175276.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Bat Coronavirus PaJX20 isolate BtPa-BetaCoV/JX2020-Q256, complete genome	Bat Coronavirus PaJX20	BtPa-BetaCoV/JX2020-Q256	08-May-2020	China: Jiangxi	Pipistrellus abramus	
OQ175277.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Bat Coronavirus PaJX20 isolate BtPa-BetaCoV/JX2020-Q257, complete genome	Bat Coronavirus PaJX20	BtPa-BetaCoV/JX2020-Q257	08-May-2020	China: Jiangxi	Pipistrellus abramus	
OQ175278.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Bat Coronavirus PaJX20 isolate BtPa-BetaCoV/JX2020-Q258, complete genome	Bat Coronavirus PaJX20	BtPa-BetaCoV/JX2020-Q258	08-May-2020	China: Jiangxi	Pipistrellus abramus	
OQ175279.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Bat Coronavirus PaJX20 isolate BtPa-BetaCoV/JX2020-Q259, complete genome	Bat Coronavirus PaJX20	BtPa-BetaCoV/JX2020-Q259	08-May-2020	China: Jiangxi	Pipistrellus abramus	
OQ175280.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Bat Coronavirus PaJX20 isolate BtPa-BetaCoV/JX2020-Q260, complete genome	Bat Coronavirus PaJX20	BtPa-BetaCoV/JX2020-Q260	12-May-2020	China: Jiangxi	Pipistrellus abramus	
OQ175281.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Bat Coronavirus PaJX20 isolate BtPa-BetaCoV/JX2020-Q261, complete genome	Bat Coronavirus PaJX20	BtPa-BetaCoV/JX2020-Q261	12-May-2020	China: Jiangxi	Pipistrellus abramus	
OQ175282.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Bat Coronavirus PaGD17 isolate BtPa-BetaCoV/GD2017-Q262, complete genome	Bat Coronavirus PaGD17	BtPa-BetaCoV/GD2017-Q262	12-Apr-2017	China: Guangdong	Pipistrellus abramus	
OQ175283.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Bat Coronavirus PaGD17 isolate BtPa-BetaCoV/GD2017-Q263, complete genome	Bat Coronavirus PaGD17	BtPa-BetaCoV/GD2017-Q263	12-Apr-2017	China: Guangdong	Pipistrellus abramus	
OQ175284.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Bat Coronavirus PaGD17 isolate BtPa-BetaCoV/GD2017-Q264, complete genome	Bat Coronavirus PaGD17	BtPa-BetaCoV/GD2017-Q264	13-Apr-2017	China: Guangdong	Pipistrellus abramus	
OQ175285.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Bat Coronavirus PaGD17 isolate BtPa-BetaCoV/GD2017-Q265, complete genome	Bat Coronavirus PaGD17	BtPa-BetaCoV/GD2017-Q265	09-Jul-2017	China: Guangdong	Pipistrellus abramus	
OQ175286.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Bat Coronavirus PaGD17 isolate BtPa-BetaCoV/GD2017-Q266, complete genome	Bat Coronavirus PaGD17	BtPa-BetaCoV/GD2017-Q266	11-Oct-2017	China: Guangdong	Pipistrellus abramus	
OQ175287.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Bat Coronavirus PaGD16 isolate BtPa-BetaCoV/GD2016-Q267, complete genome	Bat Coronavirus PaGD16	BtPa-BetaCoV/GD2016-Q267	2016	China: Guangdong	Pipistrellus abramus	
OQ175288.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Bat Coronavirus PaGD17 isolate BtPa-BetaCoV/GD2017-Q268, complete genome	Bat Coronavirus PaGD17	BtPa-BetaCoV/GD2017-Q268	2017	China: Guangdong	Pipistrellus abramus	
OQ175289.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Bat Coronavirus PaGD17 isolate BtPa-BetaCoV/GD2017-Q269, complete genome	Bat Coronavirus PaGD17	BtPa-BetaCoV/GD2017-Q269	2017	China: Guangdong	Pipistrellus abramus	
OQ175290.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Bat Coronavirus PaGD18 isolate BtPa-BetaCoV/GD2018-Q270, complete genome	Bat Coronavirus PaGD18	BtPa-BetaCoV/GD2018-Q270	2018	China: Guangdong	Pipistrellus abramus	
OQ175292.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Bat Coronavirus PaGZ19 isolate BtPa-BetaCoV/GZ2019-Q272, complete genome	Bat Coronavirus PaGZ19	BtPa-BetaCoV/GZ2019-Q272	2019	China: Guizhou	Pipistrellus abramus	
OQ175293.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Bat Coronavirus PaJX20 isolate BtPa-BetaCoV/JX2020-Q273, complete genome	Bat Coronavirus PaJX20	BtPa-BetaCoV/JX2020-Q273	2020	China: Jiangxi	Pipistrellus abramus	
OQ175294.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Bat Coronavirus PaJX20 isolate BtPa-BetaCoV/JX2020-Q274, complete genome	Bat Coronavirus PaJX20	BtPa-BetaCoV/JX2020-Q274	2020	China: Jiangxi	Pipistrellus abramus	
OQ175295.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Bat Coronavirus PaJX20 isolate BtPa-BetaCoV/JX2020-Q275, complete genome	Bat Coronavirus PaJX20	BtPa-BetaCoV/JX2020-Q275	2020	China: Jiangxi	Pipistrellus abramus	
OQ175296.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Bat Coronavirus PaJX20 isolate BtPa-BetaCoV/JX2020-Q276, complete genome	Bat Coronavirus PaJX20	BtPa-BetaCoV/JX2020-Q276	2020	China: Jiangxi	Pipistrellus abramus	
OQ175297.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Bat Coronavirus PaJX20 isolate BtPa-BetaCoV/JX2020-Q277, complete genome	Bat Coronavirus PaJX20	BtPa-BetaCoV/JX2020-Q277	2020	China: Jiangxi	Pipistrellus abramus	
OQ175298.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Bat Coronavirus PaJX20 isolate BtPa-BetaCoV/JX2020-Q278, complete genome	Bat Coronavirus PaJX20	BtPa-BetaCoV/JX2020-Q278	2020	China: Jiangxi	Pipistrellus abramus	
OQ175299.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Bat Coronavirus PaJX20 isolate BtPa-BetaCoV/JX2020-Q279, complete genome	Bat Coronavirus PaJX20	BtPa-BetaCoV/JX2020-Q279	2020	China: Jiangxi	Pipistrellus abramus	
OQ175300.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Bat Coronavirus PaZJ10 isolate BtPa-BetaCoV/ZJ2010-Q280, complete genome	Bat Coronavirus PaZJ10	BtPa-BetaCoV/ZJ2010-Q280	2010	China: Zhejiang	Pipistrellus abramus	
OQ175301.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Bat Coronavirus PaHI19 isolate BtPa-BetaCoV/HI2019-Q281, complete genome	Bat Coronavirus PaHI19	BtPa-BetaCoV/HI2019-Q281	2019	China: Hainan	Pipistrellus abramus	
OQ175302.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Bat Coronavirus RmGX17 isolate BtRm-BetaCoV/GX2017-Q282, complete genome	Bat Coronavirus RmGX17	BtRm-BetaCoV/GX2017-Q282	17-Dec-2017	China: Guangxi	Rhinolophus macrotis	
OQ175307.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Bat Coronavirus TpGD18 isolate BtTp-BetaCoV/GD2018-Q287, complete genome	Bat Coronavirus TpGD18	BtTp-BetaCoV/GD2018-Q287	11-May-2018	China: Guangdong	Tylonycteris pachypus	
OQ175308.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Bat Coronavirus TpGD18 isolate BtTp-BetaCoV/GD2018-Q288, complete genome	Bat Coronavirus TpGD18	BtTp-BetaCoV/GD2018-Q288	11-May-2018	China: Guangdong	Tylonycteris pachypus	
OQ175315.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Bat Coronavirus TpGD18 isolate BtTp-BetaCoV/GD2018-Q295, complete genome	Bat Coronavirus TpGD18	BtTp-BetaCoV/GD2018-Q295	2018	China: Guangdong	Tylonycteris pachypus	
OQ297692.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	MAG: Middle East respiratory syndrome-related coronavirus isolate GZ/L165.18/2022, complete genome	Middle East respiratory syndrome-related coronavirus	GZ/L165.18/2022	Aug-2022	China	Ia io	metagenomic
OQ297693.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	MAG: Pangolin coronavirus HKU4 isolate GX/HKU4-GX/2020, complete genome	Pangolin coronavirus HKU4	GX/HKU4-GX/2020	2020	China	Manis javanica	metagenomic
OQ786859.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Merbecovirus sp. isolate A100, complete genome	Merbecovirus sp.	A100	22-Jan-2020			
OQ786860.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Merbecovirus sp. isolate A97, complete genome	Merbecovirus sp.	A97	22-Jan-2020			
OQ786861.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Merbecovirus sp. isolate A96, complete genome	Merbecovirus sp.	A96	22-Jan-2020			
OQ786862.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Merbecovirus sp. isolate A98, complete genome	Merbecovirus sp.	A98	22-Jan-2020			
OQ715761.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	MAG: Pipistrellus bat coronavirus HKU5 isolate WZ_Pi.abramus_betacorona_2 ORF1ab polyprotein, spike protein, ORF3a protein, ORF3b protein, ORF3c protein, ORF3d protein, E protein, M protein, and N protein genes, complete cds	Pipistrellus bat coronavirus HKU5	WZ_Pi.abramus_betacorona_2		China: Wenzhou	Pipistrellus abramus	metagenomic
PV174919.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Mink respiratory coronavirus isolate MRCoV spike (S) gene, complete cds	mink respiratory coronavirus	MRCoV	29-Nov-2024	China	Neogale vison	
DQ648790.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Bat coronavirus (BtCoV/A434/2005) spike (S) gene, complete cds	Bat coronavirus (BtCoV/A434/2005)	BtCoV/A434/2005				
EF065511.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Bat coronavirus HKU5-3, complete genome	Bat coronavirus HKU5-3	TT06f		China: Guangdong province	bat	
EF065512.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Bat coronavirus HKU5-5, complete genome	Bat coronavirus HKU5-5	TT07f		China: Guangdong province	bat	
MH002340.1	Merbecovirus	Betacoronavirus	Coronaviridae	Spike	Pipistrellus bat coronavirus HKU5 isolate BY140535, complete genome	Pipistrellus bat coronavirus HKU5	BY140535	26-Jun-2014	China		
C_AA075371.1_NV-SD-L1	Merbecovirus	Betacoronavirus	Coronaviridae	complete-genome	UNVERIFIED: Pipistrellus bat coronavirus HKU5 isolate NV-SD-L1	HKU5 isolate NV-SD-L1	NV-SD-L1	2022	China: Shandong	Neogale vison	
C_AA075372.1_NV-SD-L2	Merbecovirus	Betacoronavirus	Coronaviridae	complete-genome	UNVERIFIED: Pipistrellus bat coronavirus HKU5 isolate NV-SD-L2 sequence.	HKU5 isolate NV-SD-L2	NV-SD-L2	2022	China: Shandong	Neogale vison	
C_AA075373.1	Merbecovirus	Betacoronavirus	Coronaviridae	complete-genome	UNVERIFIED: Pipistrellus bat coronavirus HKU5 isolate NV-SD-I2	HKU5 isolate NV-SD-I2	NV-SD-I2	2022	China: Shandong	Neogale vison	
C_AA085193.1	Merbecovirus	Betacoronavirus	Coronaviridae	complete-genome	Pipistrellus isolate 223381 non-structural polyprotein 1ab gene, complete cds; ORF1ab gene, complete sequence; and spike protein (S), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds.	HKU5 isolate lineage 2-223381	223381	2022	China	Pipistrellus	Use the Beyond MERS paper for location
C_AA085194.1	Merbecovirus	Betacoronavirus	Coronaviridae	complete-genome	Pipistrellus isolate 141441 non-structural polyprotein 1ab, spike protein (S), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds; and ORF1ab gene, complete sequence.	HKU5 isolate lineage 2-141441	141441	2014	China	Pipistrellus	
C_AA085190.1	Merbecovirus	Betacoronavirus	Coronaviridae	complete-genome	Pipistrellus isolate 223028 non-structural polyprotein 1ab (ORF1ab), spike protein (S), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds.	HKU5 isolate lineage 2-223028	223028	2022	China	Pipistrellus	
C_AA085189.1	Merbecovirus	Betacoronavirus	Coronaviridae	complete-genome	Pipistrellus isolate 223023 non-structural polyprotein 1ab gene, complete cds; ORF1ab gene, complete sequence; and spike protein (S), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds.	HKU5 isolate lineage 2-223023	223023	2022	China	Pipistrellus	
C_AA085192.1	Merbecovirus	Betacoronavirus	Coronaviridae	complete-genome	Pipistrellus isolate 220155 non-structural polyprotein 1ab gene, complete cds; ORF1ab gene, complete sequence; and spike protein (S), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds.	HKU5 isolate lineage 2-220155	220155	2022	China	Pipistrellus	
C_AA085191.1	Merbecovirus	Betacoronavirus	Coronaviridae	complete-genome	Pipistrellus isolate 220153 non-structural polyprotein 1ab gene, complete cds; ORF1ab gene, complete sequence; and spike protein (S), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds.	HKU5 isolate lineage 2-220153	220153	2022	China	Pipistrellus	
