ID	Complez	Filename_best.model	Virus_name	Virus_accession	Official_name	RBD_accession	Receptor	Receptor_accession	loop2.length	entry	mean_ipTM	median_ipTM	SD	local_iptm_best.model	global_iptm_local_iptm_best.model	global_ptm_best.model	ACE2_residues	X	X.1	X.2	X.3	X.4	X.5	X.6	X.7	X.8
11	HKU5-21S_NVACE2_complex	11_HKU5-21S_NVACE2_complex_seed-42_sample-0	HKU5-21S	AGP04934	21S	KC522095.1	NVACE2	XM_044236017.1	short	entry-positive	0.4392	0.24	0.351104448	0.86	0.86	0.81	26,30,33,34,37,41,90,92,93,96,323,324,325,326,328,329,330,353,354,355,386,387,388,389,393	NA	NA	NA	NA	NA	NA	NA	NA	NA
12	HKU5-22S_NVACE2_complex	12_HKU5-22S_NVACE2_complex_seed-42_sample-0	HKU5-22S	AGP04935	22S	KC522096.1	NVACE2	XM_044236017.1	short	entry-positive	0.2976	0.14	0.285208696	0.85	0.85	0.8	26,30,33,34,37,41,90,92,93,96,323,324,325,326,328,329,330,353,354,355,386,387,388,389,393	NA	NA	NA	NA	NA	NA	NA	NA	NA
13	HKU5-31S_NVACE2_complex	13_HKU5-31S_NVACE2_complex_seed-1337_sample-0	HKU5-31S	AGP04941	31S	KC522102.1	NVACE2	XM_044236017.1	short	entry-negative	0.4628	0.36	0.32129322	0.84	0.84	0.79	26,30,33,34,37,41,90,92,93,96,323,324,325,326,328,329,330,353,354,355,386,387,388,389,393	NA	NA	NA	NA	NA	NA	NA	NA	NA
14	HKU5-32S_NVACE2_complex	14_HKU5-32S_NVACE2_complex_seed-42_sample-0	HKU5-32S	AGP04942	32S	KC522103.1	NVACE2	XM_044236017.1	short	entry-positive	0.5996	0.85	0.322780627	0.86	0.86	0.81	26,30,33,34,37,41,90,92,93,96,323,324,325,326,328,329,330,353,354,355,386,387,388,389,393	NA	NA	NA	NA	NA	NA	NA	NA	NA
15	HKU5-LMH03f_NVACE2_complex	15_HKU5-LMH03f_NVACE2_complex_seed-123_sample-1	HKU5-LMH03f	NC009020	HKU5-1_LMH30f	NC_009020.1	NVACE2	XM_044236017.1	short	entry-negative	0.134	0.13	0.007071068	0.15	0.15	0.66	40,43,44,47,50,51,54,55,56,59,60,62,63,64,65,66,67,69,70,71,114,117,118,121,122,124,125,128,129,143,145,146,339,341,342,343,349,350,394,395,398,401,504,508,510,514	NA	NA	NA	NA	NA	NA	NA	NA	NA
16	BtCoV-SC2013_NVACE2_complex	16_BtCoV-SC2013_NVACE2_complex_seed-0_sample-0	BtCoV-SC2013	KJ473821			NVACE2	XM_044236017.1		entry-positive	0.5376	0.8	0.33644316	0.82	0.82	0.79	26,30,33,34,37,38,41,90,93,96,321,322,324,325,326,328,329,330,353,354,355,386,387,388,389,393	NA	NA	NA	NA	NA	NA	NA	NA	NA
17	Pkuhlii-2011_NVACE2_complex	17_Pkuhlii-2011_NVACE2_complex_seed-2026_sample-2	Pkuhlii-2011	MG596803			NVACE2	XM_044236017.1		entry-negative	0.2392	0.15	0.195680863	0.63	0.63	0.75	26,29,30,33,37,38,41,92,96,323,324,325,326,328,329,330,353,354,355,357,387,389,393	NA	NA	NA	NA	NA	NA	NA	NA	NA
18	Hsavii-2011_NVACE2_complex	18_Hsavii-2011_NVACE2_complex_seed-0_sample-2	Hsavii-2011	MG596802			NVACE2	XM_044236017.1		entry-negative	0.312	0.15	0.223979166	0.69	0.69	0.75	22,26,29,30,34,37,41,90,92,93,96,323,324,325,326,328,329,330,353,354,355,387,389,393	NA	NA	NA	NA	NA	NA	NA	NA	NA
19	EjCoV3_NVACE2_complex	19_EjCoV3_NVACE2_complex_seed-1337_sample-0	EjCoV3	LC706865.1			NVACE2	XM_044236017.1		entry-positive	0.18	0.14	0.08118908	0.34	0.34	0.71	26,30,33,34,90,92,319,321,322,324,354,356,383,384,385,387,388,389,552,555,556,559,560,563,572	NA	NA	NA	NA	NA	NA	NA	NA	NA
20	HKU25_NVACE2_complex	20_HKU25_NVACE2_complex_seed-1337_sample-0	HKU25	KX442564.1			NVACE2	XM_044236017.1		entry-negative	0.282	0.16	0.268032958	0.81	0.81	0.78	26,30,33,34,37,41,90,92,93,96,321,323,324,325,326,328,329,330,353,354,355,386,387,388,389,393	NA	NA	NA	NA	NA	NA	NA	NA	NA
21	HKU5-2-223023_NVACE2_complex	21_HKU5-2-223023_NVACE2_complex_seed-2026_sample-1	HKU5-2-223023	C_AAI84049.1	223023	C_AA085189.1	NVACE2	XM_044236017.1		entry-negative	0.2124	0.2	0.039399662	0.3	0.3	0.71	47,50,51,54,55,56,59,60,62,63,121,122,124,125,127,128,129,131,141,143,145,146,175,341,342,343,344,345,504,508,509,510,514,515	NA	NA	NA	NA	NA	NA	NA	NA	NA
22	HKU5-2-141441_NVACE2_complex	22_HKU5-2-141441_NVACE2_complex_seed-0_sample-2	HKU5-2-141441	C_AA085194.1	141441	C_AA085194.1	NVACE2	XM_044236017.1		entry-positive	0.1952	0.19	0.039488395	0.28	0.28	0.7	50,51,54,56,59,62,63,120,121,124,125,127,128,129,131,143,144,145,146,339,340,341,343,344,345,346,347,504,505,508,510	NA	NA	NA	NA	NA	NA	NA	NA	NA
23	HKU5-2-223028_NVACE2_complex	23_HKU5-2-223028_NVACE2_complex_seed-2026_sample-1	HKU5-2-223028	C_AAI84054.1	223028	C_AA085190.1	NVACE2	XM_044236017.1		not-tested	0.2268	0.22	0.037718254	0.3	0.3	0.71	47,50,51,54,55,56,59,60,62,63,121,122,124,125,128,129,131,141,143,145,146,175,341,342,343,344,345,504,505,508,509,510,514,515	NA	NA	NA	NA	NA	NA	NA	NA	NA
24	HKU5-2-220153_NVACE2_complex	24_HKU5-2-220153_NVACE2_complex_seed-0_sample-2	HKU5-2-220153	C_AAI84059.1	220153	C_AA085191.1	NVACE2	XM_044236017.1		not-tested	0.1652	0.17	0.023115651	0.2	0.2	0.68	47,50,51,56,59,60,62,63,121,122,124,125,127,128,129,131,143,145,341,343,345,346,347,349,504,505,508,510,515	NA	NA	NA	NA	NA	NA	NA	NA	NA
25	HKU5-2-220155_NVACE2_complex	25_HKU5-2-220155_NVACE2_complex_seed-0_sample-2	HKU5-2-220155	C_AAI84064.1	220155	C_AA085192.1	NVACE2	XM_044236017.1		not-tested	0.1628	0.16	0.021509688	0.2	0.2	0.68	47,50,51,56,59,60,62,63,66,121,122,124,125,127,128,129,131,143,145,341,343,345,346,347,349,504,505,508,510,514,515	NA	NA	NA	NA	NA	NA	NA	NA	NA
26	HKU5-2-223381_NVACE2_complex	26_HKU5-2-223381_NVACE2_complex_seed-2026_sample-3	HKU5-2-223381	C_AAI84069.1	223381	C_AA085193.1	NVACE2	XM_044236017.1		not-tested	0.214	0.21	0.046904158	0.3	0.3	0.71	47,50,51,54,56,59,60,62,63,120,121,124,125,127,128,129,143,145,146,339,341,343,344,345,347,504,505,508,510	NA	NA	NA	NA	NA	NA	NA	NA	NA
27	MERS-CoV_NVACE2_complex	27_MERS-CoV_NVACE2_complex_seed-1337_sample-1	MERS-CoV	YP_009047204.1			NVACE2	XM_044236017.1		not-tested	0.1656	0.17	0.023288051	0.19	0.19	0.68	47,50,51,56,59,60,62,63,66,69,70,73,74,77,102,103,105,106,113,114,115,117,118,119,120,121,122,123,124,125,126,127,128,129,174,175,179,187,199,203,343,345,346,347,348,349,374,375,378,402,507,508,509,510,514	NA	NA	NA	NA	NA	NA	NA	NA	NA
28	clade2-consensus_NVACE2_complex	28_clade2-consensus_NVACE2_complex_seed-42_sample-0	clade2-consensus				NVACE2	XM_044236017.1		not-tested	0.856	0.86	0.005	0.86	0.86	0.8	26,30,33,34,37,41,90,92,93,96,323,324,325,326,328,329,330,353,354,355,386,387,388,389,393	NA	NA	NA	NA	NA	NA	NA	NA	NA
29	SARS-CoV-2_NVACE2_complex	29_SARS-CoV-2_NVACE2_complex_seed-0_sample-0	SARS-CoV-2	YP_009724390.1			NVACE2	XM_044236017.1		entry-positive	0.6764	0.81	0.269766566	0.82	0.82	0.8	19,24,27,28,30,31,34,35,37,38,41,42,45,79,82,83,329,330,353,354,355,357,393	NA	NA	NA	NA	NA	NA	NA	NA	NA
30	HKU5-17S_PABRACE2_complex	1_HKU5-17S_PABRACE2_complex_seed-2026_sample-0	HKU5-17S	AGP04930	17S	KC522091.1	PABRACE2	GQ262782.1	long	entry-positive	0.8736	0.87	0.004898979	0.88	0.88	0.81	26,29,30,33,34,37,41,42,90,92,93,96,322,323,324,327,328,329,352,353,385,386,387,388,392	NA	NA	NA	NA	NA	NA	NA	NA	NA
31	HKU5-20S_PABRACE2_complex	2_HKU5-20S_PABRACE2_complex_seed-42_sample-0	HKU5-20S	AGP04933	20S	KC522094.1	PABRACE2	GQ262782.1	long	entry-positive	0.8668	0.87	0.006904105	0.87	0.87	0.81	26,30,33,34,37,38,41,90,92,93,96,322,323,324,325,327,328,352,353,354,385,386,387,388,392	NA	NA	NA	NA	NA	NA	NA	NA	NA
32	HKU5-24S_PABRACE2_complex	3_HKU5-24S_PABRACE2_complex_seed-0_sample-2	HKU5-24S	AGP04936	24S	KC522097.1	PABRACE2	GQ262782.1	long	entry-positive	0.2572	0.26	0.067424031	0.39	0.39	0.71	47,50,51,54,55,56,59,62,63,66,121,124,125,127,128,129,130,131,143,144,145,148,167,272,334,338,339,340,341,342,343,344,346,347,348,360,362,377,381,384,397,398,400,401,402,503,504,507,509,510,511,513,514,517	NA	NA	NA	NA	NA	NA	NA	NA	NA
33	HKU5-27S_PABRACE2_complex	4_HKU5-27S_PABRACE2_complex_seed-2026_sample-4	HKU5-27S	AGP04938	27S	KC522099.1	PABRACE2	GQ262782.1	long	entry-positive	0.868	0.87	0.005773503	0.88	0.88	0.81	26,30,33,34,37,41,90,92,93,96,322,323,324,325,327,328,352,353,354,385,386,387,388,392	NA	NA	NA	NA	NA	NA	NA	NA	NA
34	HKU5-28S_PABRACE2_complex	5_HKU5-28S_PABRACE2_complex_seed-2026_sample-4	HKU5-28S	AGP04939	28S	KC522100.1	PABRACE2	GQ262782.1	long	entry-positive	0.8668	0.87	0.008020806	0.88	0.88	0.81	26,30,33,34,37,41,90,92,93,96,322,323,324,325,327,328,352,353,354,385,386,387,388,392	NA	NA	NA	NA	NA	NA	NA	NA	NA
35	HKU5-33S_PABRACE2_complex	6_HKU5-33S_PABRACE2_complex_seed-42_sample-0	HKU5-33S	KC522104	33S	KC522104.1	PABRACE2	GQ262782.1	long	entry-positive	0.8632	0.86	0.008020806	0.87	0.87	0.81	26,27,29,30,33,34,37,38,41,90,93,96,322,323,324,327,328,352,353,354,385,386,388,392	NA	NA	NA	NA	NA	NA	NA	NA	NA
36	WZ2_PABRACE2_complex	7_WZ2_PABRACE2_complex_seed-0_sample-4	WZ2	OQ715761.1	WZ2	OQ715761.1	PABRACE2	GQ262782.1	long	entry-positive	0.8588	0.86	0.004396969	0.87	0.87	0.81	26,27,30,33,34,37,38,41,90,92,93,96,322,323,324,325,327,328,352,353,354,385,386,387,388	NA	NA	NA	NA	NA	NA	NA	NA	NA
37	Q265_PABRACE2_complex	8_Q265_PABRACE2_complex_seed-0_sample-0	Q265	OQ175285.1	Q265	OQ175285.1	PABRACE2	GQ262782.1	long	entry-positive	0.8752	0.88	0.006531973	0.88	0.88	0.81	26,30,33,34,37,38,41,90,92,93,96,322,323,324,325,327,328,352,353,354,385,386,387,388,392	NA	NA	NA	NA	NA	NA	NA	NA	NA
38	NV23_PABRACE2_complex	9_NV23_PABRACE2_complex_seed-42_sample-0	NV23	C_AA075371.1	NV-SD-L1	C_AA075371.1	PABRACE2	GQ262782.1	long	entry-positive	0.834	0.83	0.005	0.84	0.84	0.8	26,30,33,34,37,38,41,90,92,93,96,321,322,323,324,327,328,352,353,354,385,386,387,388,392	NA	NA	NA	NA	NA	NA	NA	NA	NA
39	HKU5-19S_PABRACE2_complex	10_HKU5-19S_PABRACE2_complex_seed-42_sample-0	HKU5-19S	AGP04932	19S	KC522093.1	PABRACE2	GQ262782.1	short	entry-positive	0.8536	0.85	0.004898979	0.86	0.86	0.81	26,30,33,34,37,38,41,90,92,93,96,322,323,324,325,327,328,329,352,353,354,385,386,387,388,392	NA	NA	NA	NA	NA	NA	NA	NA	NA
40	HKU5-21S_PABRACE2_complex	11_HKU5-21S_PABRACE2_complex_seed-42_sample-0	HKU5-21S	AGP04934	21S	KC522095.1	PABRACE2	GQ262782.1	short	entry-positive	0.852	0.85	0.006454972	0.86	0.86	0.81	26,30,33,34,37,38,41,90,92,93,96,322,323,324,325,327,328,329,352,353,354,385,386,387,388,392	NA	NA	NA	NA	NA	NA	NA	NA	NA
41	HKU5-22S_PABRACE2_complex	12_HKU5-22S_PABRACE2_complex_seed-42_sample-0	HKU5-22S	AGP04935	22S	KC522096.1	PABRACE2	GQ262782.1	short	entry-positive	0.852	0.85	0.007071068	0.86	0.86	0.81	26,30,33,34,37,38,41,90,92,93,96,322,323,324,325,327,328,329,352,353,354,385,386,387,388,392	NA	NA	NA	NA	NA	NA	NA	NA	NA
42	HKU5-31S_PABRACE2_complex	13_HKU5-31S_PABRACE2_complex_seed-0_sample-0	HKU5-31S	AGP04941	31S	KC522102.1	PABRACE2	GQ262782.1	short	entry-positive	0.85	0.85	0	0.85	0.85	0.8	26,30,33,34,37,38,41,90,92,93,96,322,323,324,325,327,328,329,352,353,354,356,385,386,387,388,392	NA	NA	NA	NA	NA	NA	NA	NA	NA
43	HKU5-32S_PABRACE2_complex	14_HKU5-32S_PABRACE2_complex_seed-42_sample-0	HKU5-32S	AGP04942	32S	KC522103.1	PABRACE2	GQ262782.1	short	entry-positive	0.8508	0.85	0.009092121	0.86	0.86	0.81	26,30,33,34,37,38,41,90,92,93,96,322,323,324,325,327,328,329,352,353,354,385,386,387,388,392	NA	NA	NA	NA	NA	NA	NA	NA	NA
44	HKU5-LMH03f_PABRACE2_complex	15_HKU5-LMH03f_PABRACE2_complex_seed-0_sample-0	HKU5-LMH03f	NC009020	HKU5-1_LMH30f	NC_009020.1	PABRACE2	GQ262782.1	short	entry-positive	0.8368	0.84	0.014640128	0.86	0.86	0.8	26,30,33,34,37,38,41,90,92,93,96,322,323,324,325,327,328,329,352,353,354,356,385,386,387,388,392	NA	NA	NA	NA	NA	NA	NA	NA	NA
45	BtCoV-SC2013_PABRACE2_complex	16_BtCoV-SC2013_PABRACE2_complex_seed-1337_sample-4	BtCoV-SC2013	KJ473821			PABRACE2	GQ262782.1		entry-negative	0.522	0.76	0.319361342	0.8	0.8	0.79	26,30,34,37,38,41,90,93,96,320,322,323,324,325,327,328,329,352,353,354,356,385,386,387,388,392	NA	NA	NA	NA	NA	NA	NA	NA	NA
46	Pkuhlii-2011_PABRACE2_complex	17_Pkuhlii-2011_PABRACE2_complex_seed-123_sample-4	Pkuhlii-2011	MG596803			PABRACE2	GQ262782.1		entry-negative	0.216	0.14	0.165655265	0.55	0.55	0.73	26,29,30,34,37,38,41,90,92,96,322,323,324,325,327,328,352,353,354,386,388	NA	NA	NA	NA	NA	NA	NA	NA	NA
47	Hsavii-2011_PABRACE2_complex	18_Hsavii-2011_PABRACE2_complex_seed-1337_sample-1	Hsavii-2011	MG596802			PABRACE2	GQ262782.1		entry-negative	0.154	0.15	0.024152295	0.21	0.21	0.66	23,26,30,34,37,41,90,92,93,96,320,321,322,323,324,325,327,328,329,352,353,354,386,388,392	NA	NA	NA	NA	NA	NA	NA	NA	NA
48	EjCoV3_PABRACE2_complex	19_EjCoV3_PABRACE2_complex_seed-123_sample-1	EjCoV3	LC706865.1			PABRACE2	GQ262782.1		entry-negative	0.1336	0.13	0.012543258	0.16	0.16	0.65	40,43,44,47,50,51,54,55,56,59,62,66,121,122,124,125,126,127,128,129,131,141,143,145,146,148,149,334,338,339,340,341,342,343,344,345,346,347,348,358,360,362,397,398,401,503,504,507,509,513,514,517	NA	NA	NA	NA	NA	NA	NA	NA	NA
49	HKU25_PABRACE2_complex	20_HKU25_PABRACE2_complex_seed-42_sample-0	HKU25	KX442564.1			PABRACE2	GQ262782.1		entry-negative	0.7016	0.83	0.256103495	0.84	0.84	0.8	26,30,33,34,37,41,90,92,93,96,320,322,323,324,325,327,328,329,352,353,354,356,386,387,388	NA	NA	NA	NA	NA	NA	NA	NA	NA
50	HKU5-2-223023_PABRACE2_complex	21_HKU5-2-223023_PABRACE2_complex_seed-1337_sample-4	HKU5-2-223023	C_AAI84049.1	223023	C_AA085189.1	PABRACE2	GQ262782.1		entry-negative	0.3836	0.42	0.088594582	0.5	0.5	0.75	51,124,128,129,131,141,142,143,145,146,148,149,152,272,334,336,340,341,342,343,344,345,346,358,360,367,370,401,503,504,507,509,514	NA	NA	NA	NA	NA	NA	NA	NA	NA
51	HKU5-2-141441_PABRACE2_complex	22_HKU5-2-141441_PABRACE2_complex_seed-42_sample-4	HKU5-2-141441	C_AA085194.1	141441	C_AA085194.1	PABRACE2	GQ262782.1		entry-negative	0.2204	0.23	0.02864728	0.26	0.26	0.69	43,47,50,51,54,55,56,62,63,66,69,70,73,74,104,105,124,125,127,128,129,131,137,138,139,140,141,142,143,144,145,146,331,334,335,338,339,340,341,342,343,344,345,358,360,362,503,504,507,508,509,513,514	NA	NA	NA	NA	NA	NA	NA	NA	NA
52	HKU5-2-223028_PABRACE2_complex	23_HKU5-2-223028_PABRACE2_complex_seed-2026_sample-1	HKU5-2-223028	C_AAI84054.1	223028	C_AA085190.1	PABRACE2	GQ262782.1		not-tested	0.4164	0.45	0.109881755	0.58	0.58	0.76	50,51,54,124,128,129,131,141,142,143,144,145,146,148,149,152,272,334,335,336,338,340,341,342,343,344,345,346,358,362,370,401,503,504,507,509,514	NA	NA	NA	NA	NA	NA	NA	NA	NA
53	HKU5-2-220153_PABRACE2_complex	24_HKU5-2-220153_PABRACE2_complex_seed-123_sample-2	HKU5-2-220153	C_AAI84059.1	220153	C_AA085191.1	PABRACE2	GQ262782.1		not-tested	0.2456	0.24	0.040832993	0.32	0.32	0.7	50,51,54,124,128,129,131,140,141,142,143,144,145,146,148,149,152,272,334,336,338,340,341,342,343,344,345,346,358,362,370,401,503,504,507,509,514	NA	NA	NA	NA	NA	NA	NA	NA	NA
54	HKU5-2-220155_PABRACE2_complex	25_HKU5-2-220155_PABRACE2_complex_seed-0_sample-0	HKU5-2-220155	C_AAI84064.1	220155	C_AA085192.1	PABRACE2	GQ262782.1		not-tested	0.2672	0.25	0.057916607	0.37	0.37	0.71	50,51,54,124,127,128,131,140,141,142,143,144,145,146,148,149,152,272,334,336,338,340,341,342,343,344,345,346,348,358,360,362,367,370,401,503,504,507,509,513,514	NA	NA	NA	NA	NA	NA	NA	NA	NA
55	HKU5-2-223381_PABRACE2_complex	26_HKU5-2-223381_PABRACE2_complex_seed-0_sample-1	HKU5-2-223381	C_AAI84069.1	223381	C_AA085193.1	PABRACE2	GQ262782.1		not-tested	0.2292	0.22	0.035463596	0.31	0.31	0.7	47,50,51,54,55,56,59,62,63,66,121,124,125,127,128,129,130,131,141,142,143,144,145,146,148,167,334,338,340,342,344,358,401,503,504,507,509,514	NA	NA	NA	NA	NA	NA	NA	NA	NA
56	MERS-CoV_PABRACE2_complex	27_MERS-CoV_PABRACE2_complex_seed-0_sample-0	MERS-CoV	YP_009047204.1			PABRACE2	GQ262782.1		not-tested	0.1548	0.16	0.021039645	0.18	0.18	0.67	40,41,43,44,47,50,51,53,54,55,56,59,62,63,66,69,120,121,122,124,125,127,128,129,272,339,340,341,342,344,346,348,349,350,351,401,503,504,507,508,509,513,514,517	NA	NA	NA	NA	NA	NA	NA	NA	NA
57	clade2-consensus_PABRACE2_complex	28_clade2-consensus_PABRACE2_complex_seed-42_sample-0	clade2-consensus				PABRACE2	GQ262782.1		not-tested	0.8732	0.87	0.007483315	0.88	0.88	0.81	26,30,33,34,37,38,41,42,90,92,93,96,322,323,324,325,327,328,329,352,353,354,385,386,387,388,392	NA	NA	NA	NA	NA	NA	NA	NA	NA
58	SARS-CoV-2_PABRACE2_complex	29_SARS-CoV-2_PABRACE2_complex_seed-0_sample-2	SARS-CoV-2	YP_009724390.1			PABRACE2	GQ262782.1		entry-negative	0.822	0.82	0.009128709	0.84	0.84	0.8	19,24,27,28,30,31,34,35,37,38,41,42,45,79,83,328,329,352,353,354,356	NA	NA	NA	NA	NA	NA	NA	NA	NA
59	HKU5-17S_HACE2_complex	1_HKU5-17S_HACE2_complex_seed-0_sample-1	HKU5-17S	AGP04930	17S	KC522091.1	HACE2	gi|13516971:55-2472	long	entry-negative	0.2176	0.22	0.039293765	0.29	0.29	0.71	40,43,47,50,51,54,55,56,59,60,62,63,64,67,118,121,122,124,125,127,128,129,131,143,144,145,146,273,335,336,338,339,340,341,342,343,344,345,346,347,348,349,361,375,378,393,394,401,402,504,505,508,510,514,515	NA	NA	NA	NA	NA	NA	NA	NA	NA
60	HKU5-20S_HACE2_complex	2_HKU5-20S_HACE2_complex_seed-42_sample-0	HKU5-20S	AGP04933	20S	KC522094.1	HACE2	gi|13516971:55-2472	long	entry-negative	0.1852	0.2	0.031506613	0.22	0.22	0.7	47,50,54,55,56,59,60,62,63,118,121,124,125,126,127,128,129,131,143,145,146,273,274,341,343,345,346,347,348,349,350,406,504,505,508,510,515,518	NA	NA	NA	NA	NA	NA	NA	NA	NA
61	HKU5-24S_HACE2_complex	3_HKU5-24S_HACE2_complex_seed-2026_sample-0	HKU5-24S	AGP04936	24S	KC522097.1	HACE2	gi|13516971:55-2472	long	entry-negative	0.2636	0.27	0.043193364	0.34	0.34	0.73	47,50,51,54,55,56,59,60,62,63,117,118,121,122,124,125,127,128,129,130,131,143,144,145,146,168,273,274,335,337,338,340,341,342,343,345,346,347,348,349,374,378,402,406,504,505,508,510,514,515,518	NA	NA	NA	NA	NA	NA	NA	NA	NA
62	HKU5-27S_HACE2_complex	4_HKU5-27S_HACE2_complex_seed-0_sample-0	HKU5-27S	AGP04938	27S	KC522099.1	HACE2	gi|13516971:55-2472	long	entry-negative	0.2676	0.17	0.213625061	0.7	0.7	0.8	258,259,458,462,480,483,484,600,601,602,603,606,607,608,609	NA	NA	NA	NA	NA	NA	NA	NA	NA
63	HKU5-28S_HACE2_complex	5_HKU5-28S_HACE2_complex_seed-0_sample-0	HKU5-28S	AGP04939	28S	KC522100.1	HACE2	gi|13516971:55-2472	long	entry-negative	0.2724	0.18	0.227014684	0.74	0.74	0.81	258,259,458,462,480,483,484,600,601,602,603,606,607,609	NA	NA	NA	NA	NA	NA	NA	NA	NA
64	HKU5-33S_HACE2_complex	6_HKU5-33S_HACE2_complex_seed-0_sample-0	HKU5-33S	KC522104	33S	KC522104.1	HACE2	gi|13516971:55-2472	long	entry-negative	0.1728	0.18	0.027313001	0.2	0.2	0.68	47,50,51,54,56,59,62,63,118,121,124,125,127,128,129,131,143,144,145,146,149,175,273,274,335,338,339,341,343,344,345,346,347,348,349,350,374,375,378,402,406,504,505,510,514,515,518	NA	NA	NA	NA	NA	NA	NA	NA	NA
